SEXO;IDADE;GERAÇÃO;RENDA;CLASSEECONOMICA;UF;AREARISCO;FLAG_DE_SOCIO;FLAG_DE_VEICULO;FLAG_DE_BOLSAFAMILIA;FLAG_DE_APOSENTADOS;FLAG_DE_OBITO;FLAG_DE_IMOVEL;EMPREGO_FORMAL;SCORE;SCORE_FAIXA;PERSONADECREDITO;SCORE_DIGITAL;ACORDO
M;53;GEN X;2.001 ATÉ 3.000;D;RJ;0;1;0;0;0;0;0;0;119;RISCO MUITO ALTO;FUJAM DE MIM;Digital +;0
I;40;GEN Y;2.001 ATÉ 3.000;D;BA;0;1;0;0;0;0;0;1;257;RISCO ALTO;PAGO QUANDO PUDER;Digital ++;0
M;48;GEN X;5.001 ATÉ 6.000;B;PE;0;1;0;0;0;0;0;0;852;RISCO MUITO BAIXO;O BEM AMADO;Digital ++;1
F;48;GEN X;ATÉ 1.000;E;BA;0;0;0;1;0;0;0;0;810;RISCO MUITO BAIXO;O BEM AMADO;Digital --;1
M;45;GEN X;3.001 ATÉ 4.000;C;MG;0;0;0;0;0;0;0;1;418;RISCO MÉDIO;QUEM SOU EU;Digital -;1
M;64;BABY_BOOMER;1.000 ATÉ 2.000;D;RJ;0;0;0;0;0;0;0;0;615;RISCO BAIXO;SEMPRE PRESENTE;Digital --;1
F;73;BABY_BOOMER;2.001 ATÉ 3.000;D;RJ;0;0;0;0;0;0;0;0;672;RISCO BAIXO;SEMPRE PRESENTE;Digital --;1
F;33;GEN Y;1.000 ATÉ 2.000;D;PA;0;1;0;0;0;0;0;1;284;RISCO ALTO;PAGO QUANDO PUDER;Digital +;1
M;32;GEN Y;1.000 ATÉ 2.000;E;AM;0;1;0;0;0;0;0;1;384;RISCO MÉDIO;QUEM SOU EU;Digital +;1
M;42;GEN Y;2.001 ATÉ 3.000;D;BA;0;0;0;0;0;0;0;1;1000;RISCO MUITO BAIXO;O BEM AMADO;Digital + -;1
M;33;GEN Y;2.001 ATÉ 3.000;D;CE;0;0;0;0;0;0;0;1;243;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;1
F;45;GEN X;ATÉ 1.000;E;SP;0;0;0;0;0;0;0;0;801;RISCO MUITO BAIXO;O BEM AMADO;Digital --;1
M;42;GEN Y;3.001 ATÉ 4.000;C;MS;0;0;0;0;0;0;0;1;416;RISCO MÉDIO;QUEM SOU EU;Digital -;1
M;43;GEN X;3.001 ATÉ 4.000;C;SE;0;1;1;0;0;0;0;0;432;RISCO MÉDIO;QUEM SOU EU;Digital + -;1
F;48;GEN X;4.001 ATÉ 5.000;C;AL;0;1;0;1;1;0;0;0;507;RISCO BAIXO;SEMPRE PRESENTE;Digital +;0
M;47;GEN X;2.001 ATÉ 3.000;D;MG;0;0;0;0;0;0;0;0;551;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
M;54;GEN X;1.000 ATÉ 2.000;D;GO;0;0;0;0;0;0;0;1;632;RISCO BAIXO;SEMPRE PRESENTE;Digital --;0
F;40;GEN Y;1.000 ATÉ 2.000;D;AP;0;0;0;1;0;0;0;0;102;RISCO MUITO ALTO;FUJAM DE MIM;Digital + -;0
F;41;GEN Y;1.000 ATÉ 2.000;D;BA;0;0;0;0;0;0;0;1;460;RISCO MÉDIO;QUEM SOU EU;Digital -;0
F;39;GEN Y;1.000 ATÉ 2.000;D;MA;0;1;0;0;0;0;0;1;258;RISCO ALTO;PAGO QUANDO PUDER;Digital + -;0
M;38;GEN Y;1.000 ATÉ 2.000;D;MA;0;1;0;0;0;0;0;0;215;RISCO ALTO;PAGO QUANDO PUDER;Digital +;0
